OrderNumber,Sales Channel,WarehouseCode,OrderDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 000460,In-Store,WARE-NMK1003,12/7/2018,USD,1,10,151,22,3,0.08,708.73,1728.6
SO - 000632,Online,WARE-NMK1003,2/8/2018,USD,19,35,121,6,6,0.08,1248.34,1835.8
SO - 000636,In-Store,WARE-NMK1003,3/8/2018,USD,10,4,159,11,2,0.05,5113.44,6391.8
SO - 000641,Wholesale,WARE-PUJ1005,3/8/2018,USD,27,10,279,18,3,0.05,713.35,1132.3
SO - 000645,In-Store,WARE-PUJ1005,4/8/2018,USD,11,13,291,5,6,0.3,809.83,1025.1
SO - 000647,Distributor,WARE-PUJ1005,4/8/2018,USD,21,34,292,19,2,0.05,2056.23,3738.6
SO - 000651,In-Store,WARE-MKL1006,4/8/2018,USD,11,42,334,11,4,0.15,1216.45,1788.9
SO - 000653,In-Store,WARE-UHY1004,4/8/2018,USD,7,45,240,41,5,0.1,533.19,1159.1
SO - 000656,Online,WARE-MKL1006,4/8/2018,USD,19,28,355,12,3,0.3,2508.48,3919.5
SO - 000662,In-Store,WARE-PUJ1005,4/8/2018,USD,7,4,297,38,7,0.08,3359.92,3999.9
SO - 000664,In-Store,WARE-XYS1001,4/8/2018,USD,6,42,21,37,5,0.08,727.29,1118.9
SO - 000667,Distributor,WARE-NMK1003,5/8/2018,USD,25,10,152,9,5,0.05,461.3,904.5
SO - 000673,In-Store,WARE-NMK1003,6/8/2018,USD,1,28,151,3,3,0.1,2802.61,5963
SO - 000685,In-Store,WARE-PUJ1005,7/8/2018,USD,7,22,284,1,8,0.1,1354.81,1855.9
SO - 000687,Distributor,WARE-NMK1003,7/8/2018,USD,23,26,92,20,8,0.1,649.23,1139
SO - 000691,Online,WARE-NBV1002,8/8/2018,USD,15,49,68,32,1,0.08,481.8,1025.1
SO - 000694,In-Store,WARE-NMK1003,8/8/2018,USD,5,16,95,41,6,0.1,525.55,991.6
SO - 000696,In-Store,WARE-PUJ1005,8/8/2018,USD,9,16,263,39,1,0.05,1835.87,3906.1
SO - 000698,Online,WARE-PUJ1005,8/8/2018,USD,18,9,284,2,7,0.05,4404.31,6117.1
SO - 000704,In-Store,WARE-NBV1002,9/8/2018,USD,1,2,82,35,4,0.05,4638.08,6184.1
SO - 000706,In-Store,WARE-UHY1004,9/8/2018,USD,1,7,204,37,6,0.1,772.98,931.3
SO - 000709,In-Store,WARE-UHY1004,9/8/2018,USD,11,32,213,33,3,0.08,1989.9,3979.8
SO - 000710,Wholesale,WARE-UHY1004,10/8/2018,USD,28,49,232,35,1,0.08,1846.19,3356.7
SO - 000712,In-Store,WARE-XYS1001,10/8/2018,USD,7,28,23,19,3,0.05,460.63,837.5
SO - 000713,In-Store,WARE-UHY1004,10/8/2018,USD,7,31,233,24,2,0.1,2552.03,3926.2
SO - 000714,In-Store,WARE-PUJ1005,10/8/2018,USD,5,10,308,9,5,0.05,4797.87,6231
SO - 000716,Distributor,WARE-NMK1003,10/8/2018,USD,23,16,156,1,4,0.08,2816.14,3966.4
SO - 000720,Online,WARE-PUJ1005,11/8/2018,USD,16,36,283,23,8,0.15,575.13,991.6
SO - 000722,Online,WARE-NMK1003,11/8/2018,USD,13,39,178,24,3,0.08,1054.45,2452.2
SO - 000723,In-Store,WARE-NMK1003,11/8/2018,USD,10,13,201,11,4,0.15,469.2,998.3
SO - 000724,In-Store,WARE-UHY1004,11/8/2018,USD,8,28,248,23,4,0.2,577.81,1313.2
SO - 000725,In-Store,WARE-XYS1001,11/8/2018,USD,1,26,15,20,1,0.1,1658.25,2512.5
SO - 000726,Wholesale,WARE-UHY1004,12/8/2018,USD,28,29,238,30,6,0.05,3528.76,5346.6
SO - 000727,In-Store,WARE-MKL1006,12/8/2018,USD,11,15,331,18,2,0.1,2496.42,3618
SO - 000732,Distributor,WARE-NMK1003,12/8/2018,USD,23,30,132,25,8,0.08,3090.24,4013.3
SO - 000733,Wholesale,WARE-NMK1003,12/8/2018,USD,28,24,152,2,1,0.05,836.16,1072
SO - 000901,Distributor,WARE-NMK1003,1/9/2018,USD,25,26,107,13,4,0.05,469.94,1118.9
SO - 000902,Online,WARE-NMK1003,1/9/2018,USD,19,20,134,41,4,0.05,958.7,2338.3
SO - 000905,Distributor,WARE-NBV1002,1/9/2018,USD,25,33,87,39,4,0.1,337.68,844.2
SO - 000909,In-Store,WARE-UHY1004,2/9/2018,USD,3,22,212,10,7,0.08,1171.63,1748.7
SO - 000911,Online,WARE-MKL1006,2/9/2018,USD,16,20,364,22,3,0.08,684,824.1
SO - 000913,In-Store,WARE-NMK1003,2/9/2018,USD,9,6,92,37,5,0.08,1565.79,3819
SO - 000918,Online,WARE-NMK1003,3/9/2018,USD,16,7,182,28,2,0.15,1026.31,2231.1
SO - 000919,Distributor,WARE-NMK1003,3/9/2018,USD,25,3,183,37,2,0.2,117.59,261.3
SO - 000920,In-Store,WARE-XYS1001,4/9/2018,USD,11,35,49,28,3,0.2,2960.33,3524.2
SO - 000922,Wholesale,WARE-NBV1002,4/9/2018,USD,27,26,66,36,5,0.15,2560.34,3879.3
SO - 000923,In-Store,WARE-UHY1004,4/9/2018,USD,8,41,217,12,3,0.2,132.12,227.8
SO - 000926,Online,WARE-UHY1004,4/9/2018,USD,13,4,239,35,8,0.2,464.31,1105.5
SO - 000929,In-Store,WARE-NMK1003,5/9/2018,USD,7,14,159,33,3,0.1,198.59,261.3
SO - 000930,Wholesale,WARE-XYS1001,5/9/2018,USD,27,35,31,34,6,0.1,675.36,1072
SO - 000931,In-Store,WARE-NMK1003,5/9/2018,USD,12,21,184,9,5,0.08,899.81,1058.6
SO - 000932,In-Store,WARE-UHY1004,5/9/2018,USD,9,20,211,37,7,0.05,131.39,247.9
SO - 000933,In-Store,WARE-XYS1001,5/9/2018,USD,7,11,22,37,8,0.1,1117.16,2659.9
SO - 000934,In-Store,WARE-NMK1003,5/9/2018,USD,9,44,152,34,3,0.05,866.71,1031.8
SO - 000935,Online,WARE-XYS1001,5/9/2018,USD,15,8,44,32,7,0.15,1120.24,2546
SO - 000938,In-Store,WARE-MKL1006,6/9/2018,USD,4,28,364,1,2,0.08,2484.09,4006.6
SO - 000939,Distributor,WARE-UHY1004,6/9/2018,USD,25,37,222,35,4,0.08,758.64,1132.3
SO - 000940,Distributor,WARE-NMK1003,6/9/2018,USD,20,7,101,13,6,0.05,511.75,897.8
SO - 000943,In-Store,WARE-XYS1001,6/9/2018,USD,1,40,24,46,7,0.05,4938.37,6251.1
SO - 000944,Wholesale,WARE-NMK1003,6/9/2018,USD,27,47,169,3,7,0.05,2176.83,3819
SO - 000946,Distributor,WARE-MKL1006,7/9/2018,USD,21,12,347,20,8,0.08,752.54,1045.2
SO - 000947,In-Store,WARE-NMK1003,7/9/2018,USD,6,48,101,6,7,0.4,988.18,2298.1
SO - 000953,In-Store,WARE-NMK1003,7/9/2018,USD,3,29,96,39,3,0.2,905.51,1775.5
SO - 000954,In-Store,WARE-XYS1001,8/9/2018,USD,7,27,25,33,7,0.05,1465.29,1809
SO - 000960,Distributor,WARE-UHY1004,8/9/2018,USD,21,13,219,26,3,0.2,813.65,1179.2
SO - 000961,In-Store,WARE-NMK1003,9/9/2018,USD,5,48,140,18,4,0.08,418.08,1045.2
SO - 000962,Distributor,WARE-XYS1001,9/9/2018,USD,21,24,22,6,7,0.05,644.88,837.5
SO - 000963,In-Store,WARE-XYS1001,9/9/2018,USD,10,37,41,31,4,0.08,480.73,1172.5
SO - 000966,Distributor,WARE-PUJ1005,9/9/2018,USD,25,31,279,44,6,0.05,1246.2,3115.5
SO - 000967,Wholesale,WARE-NMK1003,10/9/2018,USD,26,28,98,11,8,0.05,1447.2,2412
SO - 000970,Online,WARE-UHY1004,10/9/2018,USD,13,39,255,47,5,0.05,556.57,783.9
SO - 000972,Online,WARE-NMK1003,10/9/2018,USD,20,8,190,29,3,0.05,831,1051.9
SO - 000974,In-Store,WARE-MKL1006,10/9/2018,USD,7,3,361,26,5,0.2,509.07,877.7
SO - 000978,In-Store,WARE-NMK1003,11/9/2018,USD,6,18,121,7,5,0.05,135.68,180.9
SO - 000979,In-Store,WARE-NMK1003,11/9/2018,USD,4,45,103,37,6,0.08,1594.6,1876
SO - 000986,In-Store,WARE-NMK1003,11/9/2018,USD,3,42,148,18,6,0.1,868.32,1085.4
SO - 000988,Wholesale,WARE-NMK1003,11/9/2018,USD,27,50,202,12,2,0.05,3142.57,3832.4
SO - 000990,Distributor,WARE-XYS1001,12/9/2018,USD,21,34,46,13,2,0.05,649.83,1065.3
SO - 000994,Online,WARE-MKL1006,12/9/2018,USD,19,3,339,3,3,0.08,789.26,1038.5
SO - 0001162,Online,WARE-XYS1001,2/10/2018,USD,12,25,14,44,3,0.08,2532.6,6331.5
SO - 0001164,Online,WARE-UHY1004,2/10/2018,USD,14,38,246,38,4,0.05,639.98,1333.3
SO - 0001167,In-Store,WARE-NBV1002,2/10/2018,USD,5,22,78,25,1,0.2,1212.03,1809
SO - 0001170,In-Store,WARE-UHY1004,3/10/2018,USD,10,34,228,27,8,0.05,774.52,1139
SO - 0001176,Online,WARE-XYS1001,4/10/2018,USD,12,50,15,8,6,0.1,161.81,234.5
SO - 0001182,In-Store,WARE-UHY1004,5/10/2018,USD,9,35,204,14,6,0.1,999.91,1922.9
SO - 0001183,In-Store,WARE-XYS1001,5/10/2018,USD,6,45,17,40,8,0.08,2865.46,3979.8
SO - 0001187,Wholesale,WARE-NMK1003,6/10/2018,USD,25,2,139,25,3,0.15,831,1051.9
SO - 0001188,Online,WARE-XYS1001,6/10/2018,USD,19,17,54,20,4,0.3,789.33,1025.1
SO - 0001189,Wholesale,WARE-PUJ1005,6/10/2018,USD,26,46,270,45,2,0.05,83.55,194.3
SO - 0001190,In-Store,WARE-NBV1002,6/10/2018,USD,4,12,81,45,2,0.08,1836.87,3993.2
SO - 0001197,Wholesale,WARE-PUJ1005,7/10/2018,USD,26,6,303,42,4,0.15,1952.92,2324.9
SO - 0001199,Online,WARE-PUJ1005,7/10/2018,USD,12,4,283,6,3,0.15,594.56,1025.1
SO - 0001204,Wholesale,WARE-UHY1004,8/10/2018,USD,26,15,253,27,1,0.05,2130.6,4020
SO - 0001205,In-Store,WARE-NMK1003,8/10/2018,USD,2,31,130,3,5,0.2,861.42,2003.3
SO - 0001208,Online,WARE-MKL1006,8/10/2018,USD,14,5,333,19,4,0.2,1277.96,1936.3
SO - 0001209,Wholesale,WARE-NMK1003,9/10/2018,USD,26,1,136,31,7,0.08,114.97,174.2
SO - 0001210,Distributor,WARE-PUJ1005,9/10/2018,USD,24,48,300,12,1,0.05,1071.73,1728.6
SO - 0001217,In-Store,WARE-NMK1003,10/10/2018,USD,9,36,155,46,3,0.15,1185.9,2010
SO - 0001218,Wholesale,WARE-NMK1003,10/10/2018,USD,27,19,189,39,5,0.05,795.96,1206
SO - 0001219,Distributor,WARE-XYS1001,10/10/2018,USD,22,20,2,46,1,0.05,130.25,180.9
SO - 0001221,Online,WARE-MKL1006,11/10/2018,USD,13,12,359,10,3,0.08,4293.76,6505.7
SO - 0001223,In-Store,WARE-PUJ1005,11/10/2018,USD,7,40,287,22,4,0.05,524.21,1092.1
SO - 0001224,In-Store,WARE-XYS1001,11/10/2018,USD,10,42,17,47,4,0.15,1370.82,2492.4
SO - 0001227,Wholesale,WARE-UHY1004,12/10/2018,USD,27,50,253,43,8,0.1,395.57,824.1
SO - 0001228,Distributor,WARE-UHY1004,12/10/2018,USD,21,35,253,10,8,0.05,441.66,690.1
SO - 0001229,In-Store,WARE-NBV1002,12/10/2018,USD,10,25,66,21,5,0.2,1206.2,2365.1
SO - 0001230,In-Store,WARE-NBV1002,12/10/2018,USD,11,42,65,22,8,0.3,460.96,1072
SO - 0001386,Wholesale,WARE-NMK1003,1/11/2018,USD,27,13,164,2,2,0.1,637.57,1045.2
SO - 0001387,Online,WARE-PUJ1005,1/11/2018,USD,18,8,305,40,2,0.15,1450.42,3021.7
SO - 0001388,Online,WARE-PUJ1005,1/11/2018,USD,20,9,304,23,5,0.08,216.88,261.3
SO - 0001391,In-Store,WARE-NMK1003,1/11/2018,USD,10,27,187,7,8,0.1,1995.53,3912.8
SO - 0001393,In-Store,WARE-NMK1003,1/11/2018,USD,7,20,159,11,2,0.1,548.86,857.6
SO - 0001401,In-Store,WARE-PUJ1005,2/11/2018,USD,9,14,314,20,2,0.05,943.36,1715.2
SO - 0001402,Online,WARE-NBV1002,2/11/2018,USD,17,34,64,45,8,0.08,1494.64,2264.6
SO - 0001404,In-Store,WARE-NMK1003,3/11/2018,USD,3,19,102,11,1,0.15,2211.13,3812.3
SO - 0001411,Wholesale,WARE-UHY1004,3/11/2018,USD,28,24,248,18,2,0.4,835.22,1815.7
SO - 0001418,Wholesale,WARE-MKL1006,4/11/2018,USD,27,36,343,38,4,0.05,4576.03,5942.9
SO - 0001419,In-Store,WARE-NBV1002,4/11/2018,USD,11,15,78,14,8,0.08,1181.88,2412
SO - 0001420,Distributor,WARE-XYS1001,4/11/2018,USD,25,16,55,43,3,0.05,813.11,1098.8
SO - 0001421,Online,WARE-PUJ1005,5/11/2018,USD,16,8,263,36,6,0.2,905.84,1132.3
SO - 0001423,In-Store,WARE-NMK1003,5/11/2018,USD,1,24,118,9,3,0.05,563.81,1025.1
SO - 0001424,Online,WARE-PUJ1005,6/11/2018,USD,16,47,312,38,2,0.08,844.2,1688.4
SO - 0001425,In-Store,WARE-PUJ1005,6/11/2018,USD,8,2,286,26,2,0.1,3417,4020
SO - 0001426,Distributor,WARE-NMK1003,6/11/2018,USD,22,39,141,30,3,0.1,4186.96,6157.3
SO - 0001429,In-Store,WARE-NMK1003,6/11/2018,USD,12,35,192,30,5,0.05,978.74,1179.2
SO - 0001432,In-Store,WARE-PUJ1005,7/11/2018,USD,11,38,285,24,6,0.1,736.2,1098.8
SO - 0001433,In-Store,WARE-NMK1003,7/11/2018,USD,1,9,120,40,4,0.4,1819.59,2458.9
SO - 0001438,Online,WARE-NBV1002,7/11/2018,USD,12,33,59,46,8,0.08,1784.88,3966.4
SO - 0001439,Online,WARE-NMK1003,7/11/2018,USD,19,9,89,47,1,0.15,2080.15,2633.1
SO - 0001441,In-Store,WARE-NMK1003,7/11/2018,USD,4,9,193,26,5,0.05,1251.29,2720.2
SO - 0001442,Online,WARE-MKL1006,7/11/2018,USD,16,22,353,9,5,0.08,3541.62,5902.7
SO - 0001445,Online,WARE-UHY1004,8/11/2018,USD,20,50,247,27,4,0.4,973.78,2264.6
SO - 0001448,In-Store,WARE-NMK1003,8/11/2018,USD,8,36,121,37,6,0.05,3015,4020
SO - 0001450,Online,WARE-MKL1006,8/11/2018,USD,20,9,347,16,2,0.1,405.22,750.4
SO - 0001452,Wholesale,WARE-UHY1004,8/11/2018,USD,26,50,248,34,8,0.15,591.95,1038.5
SO - 0001454,In-Store,WARE-NMK1003,9/11/2018,USD,4,29,140,41,4,0.08,411.92,777.2
SO - 0001460,Distributor,WARE-PUJ1005,9/11/2018,USD,24,31,287,40,6,0.05,1843.91,2525.9
SO - 0001461,Wholesale,WARE-NMK1003,10/11/2018,USD,28,10,171,15,7,0.05,2859.56,5199.2
SO - 0001462,In-Store,WARE-XYS1001,10/11/2018,USD,5,48,47,47,5,0.1,2720.74,5038.4
SO - 0001465,In-Store,WARE-MKL1006,10/11/2018,USD,3,4,366,8,6,0.05,786.51,1829.1
SO - 0001470,Distributor,WARE-NMK1003,10/11/2018,USD,24,23,117,22,7,0.05,785.64,958.1
SO - 0001471,In-Store,WARE-XYS1001,10/11/2018,USD,11,1,55,8,1,0.08,2304.6,3906.1
SO - 0001472,In-Store,WARE-NMK1003,10/11/2018,USD,10,27,119,45,4,0.1,1893.29,2666.6
SO - 0001473,In-Store,WARE-NMK1003,11/11/2018,USD,8,31,176,37,7,0.4,1785.55,2747
SO - 0001474,Online,WARE-MKL1006,11/11/2018,USD,20,44,340,44,1,0.05,529.3,1058.6
SO - 0001475,Online,WARE-XYS1001,11/11/2018,USD,18,16,15,6,5,0.15,940.68,1306.5
SO - 0001476,Online,WARE-PUJ1005,11/11/2018,USD,13,15,281,13,4,0.05,1543.68,2572.8
SO - 0001477,Online,WARE-XYS1001,11/11/2018,USD,17,31,28,31,3,0.1,787.92,1125.6
SO - 0001479,In-Store,WARE-UHY1004,11/11/2018,USD,8,28,253,37,1,0.08,688.02,1092.1
SO - 0001480,In-Store,WARE-PUJ1005,11/11/2018,USD,7,32,286,45,7,0.4,1417.99,1916.2
SO - 0001482,In-Store,WARE-PUJ1005,11/11/2018,USD,1,8,279,14,2,0.1,121.2,180.9
SO - 0001483,Online,WARE-NBV1002,12/11/2018,USD,19,35,64,4,2,0.1,2763.82,3892.7
SO - 0001485,In-Store,WARE-NMK1003,12/11/2018,USD,1,39,119,9,6,0.05,2707.07,3658.2
SO - 0001488,In-Store,WARE-UHY1004,12/11/2018,USD,7,16,239,23,7,0.05,1527.33,1862.6
SO - 0001642,Online,WARE-PUJ1005,1/12/2018,USD,15,34,272,15,6,0.05,1043.19,2318.2
SO - 0001647,Distributor,WARE-NMK1003,2/12/2018,USD,24,30,100,26,3,0.1,3498.41,5929.5
SO - 0001651,Distributor,WARE-XYS1001,3/12/2018,USD,20,44,44,31,8,0.05,2999.72,3845.8
SO - 0001655,Online,WARE-UHY1004,3/12/2018,USD,13,10,213,25,3,0.05,563.81,1105.5
SO - 0001656,Online,WARE-NBV1002,3/12/2018,USD,20,31,73,27,1,0.15,533.05,1045.2
SO - 0001658,Distributor,WARE-NBV1002,3/12/2018,USD,21,50,79,39,5,0.08,965.47,1755.4
SO - 0001659,Distributor,WARE-NMK1003,3/12/2018,USD,21,47,114,2,1,0.05,1191.53,2291.4
SO - 0001660,Wholesale,WARE-XYS1001,3/12/2018,USD,28,45,18,13,6,0.2,719.85,1058.6
SO - 0001662,In-Store,WARE-NMK1003,3/12/2018,USD,9,48,122,11,5,0.4,115.78,241.2
SO - 0001664,Online,WARE-NMK1003,4/12/2018,USD,19,43,137,1,2,0.15,1890.74,2224.4
SO - 0001669,Distributor,WARE-NMK1003,4/12/2018,USD,22,32,141,23,6,0.05,598.44,1031.8
SO - 0001677,In-Store,WARE-MKL1006,5/12/2018,USD,4,18,344,45,4,0.1,2764.15,3839.1
SO - 0001681,Online,WARE-XYS1001,5/12/2018,USD,15,11,24,12,6,0.4,458.75,1118.9
SO - 0001684,Wholesale,WARE-NBV1002,6/12/2018,USD,27,19,81,4,8,0.05,514.02,917.9
SO - 0001688,In-Store,WARE-NMK1003,6/12/2018,USD,6,49,124,29,2,0.1,846.08,1098.8
